p,d,q,aic,mse
1.0,0.0,1.0,16859.265815189192,376.89142849900793
1.0,0.0,2.0,16817.687700046146,376.88439244130643
1.0,0.0,3.0,16792.0057908535,376.82827819794653
1.0,0.0,4.0,16782.120456200086,375.939610983653
1.0,0.0,5.0,16777.97340300834,375.4372189334414
1.0,0.0,6.0,16778.8852425339,375.5347864474163
1.0,0.0,7.0,16780.020517258286,375.4464880329799
1.0,0.0,8.0,16779.03095015179,375.41448075999295
1.0,0.0,9.0,16774.636923519865,375.55327326765257
1.0,0.0,10.0,16772.657140968753,375.72442702496835
1.0,1.0,1.0,16793.12696733412,540.829724376091
1.0,1.0,2.0,16776.11980469734,531.3204841935797
1.0,1.0,3.0,16777.737630081967,533.2673646697112
1.0,1.0,4.0,16779.18253459743,537.4967410471659
1.0,1.0,5.0,16780.716538560097,519.4097489723206
1.0,1.0,6.0,16781.10836448301,535.4233566432843
1.0,1.0,7.0,16776.02476353231,539.6454070995118
1.0,1.0,8.0,16774.851700421317,541.3216255114987
1.0,1.0,9.0,16773.80542500878,542.6947793625387
1.0,1.0,10.0,16773.96009805243,543.7686495697709
2.0,0.0,1.0,16856.88885367199,376.87242641229255
2.0,0.0,2.0,16775.320011850024,376.83856266474055
2.0,0.0,3.0,16777.19136540115,375.17290345975175
2.0,0.0,4.0,16779.100419056187,374.9407534100081
2.0,0.0,5.0,16778.58397045307,375.29278510207354
2.0,0.0,6.0,16780.71279315805,375.53116300906316
2.0,0.0,7.0,16782.444736719477,375.5586352986717
2.0,0.0,8.0,16775.336035471948,374.4811221846606
2.0,0.0,9.0,16774.35848750668,375.2924332979826
2.0,0.0,10.0,16774.54253364781,375.32138859870946
2.0,1.0,1.0,16777.515117707895,530.2330733757151
2.0,1.0,2.0,16777.806071959647,532.6177832640029
2.0,1.0,3.0,16778.51565577901,536.7763020357837
2.0,1.0,4.0,16780.405367951633,534.5140426933075
2.0,1.0,5.0,16782.486951599203,530.2003039711315
2.0,1.0,6.0,16780.75059758215,535.0833751023285
2.0,1.0,7.0,16765.468079840262,532.3474052204334
2.0,1.0,8.0,16765.996890744485,532.4804686876505
2.0,1.0,9.0,16745.278164417858,534.493320723154
2.0,1.0,10.0,16775.90395006312,543.5703580056619
3.0,0.0,1.0,16776.435922212917,375.2449385554985
3.0,0.0,2.0,16777.1977363925,375.12621335990457
3.0,0.0,3.0,16779.22529552782,375.4359345530919
3.0,0.0,4.0,16780.9561928418,375.08285790520597
3.0,0.0,5.0,16780.5651258481,375.51262040035783
3.0,0.0,6.0,16782.35248997851,375.30427157042084
3.0,0.0,7.0,16776.129182135737,375.84116064556
3.0,0.0,8.0,16785.85033480152,375.51237100747824
3.0,0.0,9.0,16771.653475926534,376.55089802646967
3.0,0.0,10.0,16776.39011682897,375.64993752557393
3.0,1.0,1.0,16777.64823689022,534.2814062509169
3.0,1.0,2.0,16779.666122136332,533.7498637803924
3.0,1.0,3.0,16781.68361803882,533.5898498530003
3.0,1.0,4.0,16774.952503608612,541.5843032902009
3.0,1.0,5.0,16776.803374775358,533.7736176859145
3.0,1.0,6.0,16779.97676963449,538.5038893269857
3.0,1.0,7.0,16782.695490630973,537.8630258093203
3.0,1.0,8.0,16769.418741237947,529.9562760022204
3.0,1.0,9.0,16756.65360150872,518.6450464438806
3.0,1.0,10.0,16753.106070682756,535.5602589106355
4.0,0.0,1.0,16777.201963641386,375.025792214308
4.0,0.0,2.0,16780.138358623106,375.42287506101127
4.0,0.0,3.0,16779.844110971513,375.2316121907046
4.0,0.0,4.0,16779.709275519654,375.61246353632544
4.0,0.0,5.0,16762.043491668417,375.89194015165
4.0,0.0,6.0,16771.893077610537,375.7083920672486
4.0,0.0,7.0,16769.874651885555,438.6044474811292
4.0,0.0,8.0,16771.303264610775,375.8088940042269
4.0,0.0,9.0,16769.013616015975,377.47019018060763
4.0,0.0,10.0,16773.62939699149,376.6879175604329
4.0,1.0,1.0,16779.570962457306,535.2887209990597
4.0,1.0,2.0,16779.771808548176,538.3457670649873
4.0,1.0,3.0,16768.947030003364,539.6220490215685
4.0,1.0,4.0,16784.009325955216,535.8551547200881
4.0,1.0,5.0,16774.763021402097,532.8546550920269
4.0,1.0,6.0,16761.8331935948,452.6761167964686
4.0,1.0,7.0,16760.859839294768,472.8622756903229
4.0,1.0,8.0,16753.392220957583,492.5769359214069
4.0,1.0,9.0,16764.04464883513,532.5320635802098
4.0,1.0,10.0,16749.257021319656,536.6268060548542
5.0,0.0,1.0,16779.19581087513,375.2954079132057
5.0,0.0,2.0,16780.45600330533,375.44695622302066
5.0,0.0,3.0,16774.330123599088,383.55866270502196
5.0,0.0,4.0,16779.99493614604,386.35958087903606
5.0,0.0,5.0,16751.026870464317,384.4010833368985
5.0,0.0,6.0,16765.21434272478,375.88950095906574
5.0,0.0,7.0,16749.287833071154,376.6181464868929
5.0,0.0,8.0,16751.5068355012,375.97533831082524
5.0,0.0,9.0,16784.76635393202,375.5817574101186
5.0,0.0,10.0,16753.849094946007,446.8678864737719
5.0,1.0,1.0,16778.35043668795,538.0573437414505
5.0,1.0,2.0,16782.84499205439,534.4531555496848
5.0,1.0,3.0,16773.287090458056,533.5652636056893
5.0,1.0,4.0,16772.03377008294,535.4771804808703
5.0,1.0,5.0,16759.9707328362,548.4089860433822
5.0,1.0,6.0,16754.66903225394,537.0440232206986
5.0,1.0,7.0,16752.901918485884,519.4891440481091
5.0,1.0,8.0,16755.086094538012,526.8016298568011
5.0,1.0,9.0,16764.63867304586,535.0267158113702
5.0,1.0,10.0,16756.99970959656,534.190199967751
6.0,0.0,1.0,16791.62809103293,376.86299520367004
6.0,0.0,2.0,16793.15255843904,376.78314453002395
6.0,0.0,3.0,16782.60908637275,374.053936271466
6.0,0.0,4.0,16777.827373272827,375.8457697762756
6.0,0.0,5.0,16747.519801381255,373.4388499103125
6.0,0.0,6.0,16767.46994508084,374.6495530884019
6.0,0.0,7.0,16744.323538471297,378.41729681213565
6.0,0.0,8.0,16755.764036951194,376.4212303240211
6.0,0.0,9.0,16777.634597315882,375.8221717831595
6.0,0.0,10.0,16744.041504652072,374.25219117976
6.0,1.0,1.0,16773.351677754887,536.0462993076555
6.0,1.0,2.0,16774.745224848084,537.0517741184991
6.0,1.0,3.0,16774.278733812152,545.8358696380106
6.0,1.0,4.0,16752.775883492704,537.0663620492159
6.0,1.0,5.0,16760.498350400278,549.7135380331035
6.0,1.0,6.0,16747.120345718686,532.1471844265909
6.0,1.0,7.0,16759.147456378265,549.4851978411866
6.0,1.0,8.0,16761.597298574277,520.4737351477328
6.0,1.0,9.0,16737.934704761792,530.8204683096603
6.0,1.0,10.0,16746.119448936857,546.4111225640063
7.0,0.0,1.0,16775.296263026117,371.69173373155667
7.0,0.0,2.0,16795.153308468794,376.8875382817765
7.0,0.0,3.0,16776.683229256952,373.61835291735133
7.0,0.0,4.0,16786.165976661992,375.4120337403029
7.0,0.0,5.0,16748.702974865602,374.1249464096801
7.0,0.0,6.0,16761.326233582426,376.04998015835196
7.0,0.0,7.0,16780.95448388915,375.4351927366218
7.0,0.0,8.0,16765.816174347332,376.86330195992025
7.0,0.0,9.0,16763.72434504378,376.32051659438105
7.0,0.0,10.0,16739.54347869117,374.6485266242424
7.0,1.0,1.0,16774.4938299966,537.5950274642639
7.0,1.0,2.0,16776.742744346047,536.5334969103826
7.0,1.0,3.0,16778.569152946395,537.2352490844196
7.0,1.0,4.0,16764.875881021246,526.3357526049268
7.0,1.0,5.0,16744.7848229956,532.0909999721089
7.0,1.0,6.0,16748.495202627157,535.059599222061
7.0,1.0,7.0,16746.673376154024,526.237890257452
7.0,1.0,8.0,16747.322525858828,543.2303512547401
7.0,1.0,9.0,16750.37982263996,544.6812487083665
7.0,1.0,10.0,16730.21749504151,535.1144484772203
8.0,0.0,1.0,16794.88041844839,376.7428350973433
8.0,0.0,2.0,16786.762358943313,376.5217852404023
8.0,0.0,3.0,16784.34657118475,376.17577356496713
8.0,0.0,4.0,16788.48127482288,376.7628214251195
8.0,0.0,5.0,16745.18470355306,372.77674434470583
8.0,0.0,6.0,16778.98418254945,375.8245703944724
8.0,0.0,7.0,16769.20627937083,375.44861921621066
8.0,0.0,8.0,16760.392626986148,386.4154502757997
8.0,0.0,9.0,16766.77999096764,376.3156047784682
8.0,0.0,10.0,16744.96459115857,377.84527172428426
8.0,1.0,1.0,16775.290891480327,538.9224869809341
8.0,1.0,2.0,16778.438318297245,537.5056749074307
8.0,1.0,3.0,16769.126422899066,539.4748015446179
8.0,1.0,4.0,16768.443352757706,531.6145456234308
8.0,1.0,5.0,16769.2090110027,519.3180165845207
8.0,1.0,6.0,16739.98208948456,540.5296864791137
8.0,1.0,7.0,16744.451742173587,534.6462367521543
8.0,1.0,8.0,16741.242867987952,537.1938089882585
8.0,1.0,9.0,16746.670726773267,543.6836408648453
8.0,1.0,10.0,16735.072123355374,536.6686273224049
9.0,0.0,1.0,16796.405722168234,376.78068421584294
9.0,0.0,2.0,16789.375735509893,376.5917117958884
9.0,0.0,3.0,16781.958432147883,375.8139124888537
9.0,0.0,4.0,16792.279544805624,376.7576051511363
9.0,0.0,5.0,16781.247122747936,375.37813715814013
9.0,0.0,6.0,16779.74262596924,382.71483667762436
9.0,0.0,7.0,16765.75297016072,375.7597886287029
9.0,0.0,8.0,16748.330954443172,383.65737963862944
9.0,0.0,9.0,16749.267333547938,377.6680018089493
9.0,0.0,10.0,16766.30972998491,373.3944194978647
9.0,1.0,1.0,16768.780121850068,541.944559477319
9.0,1.0,2.0,16767.577436551343,542.3261822575372
9.0,1.0,3.0,16766.08363997581,541.6796494703875
9.0,1.0,4.0,16768.578478916614,534.4316037873608
9.0,1.0,5.0,16768.865932059485,551.8803538852093
9.0,1.0,6.0,16758.38502729041,552.850895054382
9.0,1.0,7.0,16745.690750446356,538.9317645734039
9.0,1.0,8.0,16744.21347307857,537.0263190840923
9.0,1.0,9.0,16742.76121744621,537.9420107336248
9.0,1.0,10.0,16755.886238634113,530.7261060952056
10.0,0.0,1.0,16798.476238680058,376.8897166891028
10.0,0.0,2.0,16786.746338367797,376.5832658019408
10.0,0.0,3.0,16788.407081367062,376.65326807684085
10.0,0.0,4.0,16792.73753980582,376.7398332576178
10.0,0.0,5.0,16771.473416964618,378.1366423874487
10.0,0.0,6.0,16778.424970693854,376.4780148425775
10.0,0.0,7.0,16785.23497893845,378.49384500358025
10.0,0.0,8.0,16749.36107717194,374.07741068008124
10.0,0.0,9.0,16769.942805683673,377.00001621505095
10.0,0.0,10.0,16751.854902212606,407.4246271121621
10.0,1.0,1.0,16767.708980886175,542.5815022511258
10.0,1.0,2.0,16769.29017154748,541.6743252108597
10.0,1.0,3.0,16766.392108506367,540.6410972074904
10.0,1.0,4.0,16762.221102559117,546.9121537956811
10.0,1.0,5.0,16768.26606739585,543.6567350392837
10.0,1.0,6.0,16792.56228006033,418.5218607641491
10.0,1.0,7.0,16751.027781753124,530.0256337869097
10.0,1.0,8.0,16747.34446285729,538.472355566475
10.0,1.0,9.0,16738.7117317436,539.0508467264286
10.0,1.0,10.0,16732.31546194131,531.2256473401058
